,apparent_magnitude,bayer_designation,distance,mass,name,radius,spectral_class
118,,,88.0,0.07063892,2MASP J0345432+254023,0.10790115,
119,,,380.0,0.052501900000000004,Teide 1,0.38844413999999994,
120,,,29.8,0.0190916,2MASS J03552337+1133437,0.13564716,
121,,,130.0,,DENIS-P J035726.9-441730,,
122,,,18.6,0.0286374,2MASS J04151954−0935066,0.09762484999999999,
123,,,50.0,,SDSSp J042348.57-041403.5,,
124,,,85.0,0.0763664,2MASS J04285096-2253227,0.11201167000000001,
125,,,29.5,0.04581984,2MASS J04390101-2353083,0.09968010999999999,
126,,,470.0,0.01813702,2MASS J04414489+2301513,,
127,,,42.0,0.06109312,2MASS J04455387-3048204,0.102763,
128,,,69.0,0.06872976,2MASS J04510093-3402150,0.10687352,
129,,,44.0,0.06109312,2MASS J05002100+0330501,0.102763,
130,,,64.0,0.02004618,2MASS J05012406-0010452,0.14181293999999997,
131,,,73.0,0.044865260000000004,2MASS J05160945-0445499,0.09968010999999999,
132,,,40.0,0.06491144,2MASS J0523−1403,0.10379063,
133,,,81.0,0.07923014,2MASS 0532+8246,,
134,,,34.0,,2MASS J05591914-1404488,,
135,,,34.6,0.02672824,LSR 0602+3910,0.14489582999999998,
136,,,39.0,0.05345648,2MASS J06244595-4521548,0.10173536999999999,
137,,,65.0,0.06395686,2MASS J06411840-4322329,0.10379063,
138,,,51.0,0.0715935,DENIS-P J0652197-253450,0.10790115,
139,,,40.0,,2MASS J07003664+3157266,,
140,,,13.4,0.02481908,UGPS J072227.51-054031.2,0.10070773999999999,
141,,,29.6,0.03913778,2MASSI J0727182+171001,0.09659721999999998,
142,,,25.8,0.03531946,2MASS J07290002-3954043,0.09659721999999998,
143,,,49.0,0.041046940000000004,SDSS J074201.41+205520.5,0.09659721999999998,
144,,,49.6,,2MASS J0746425+200032,,
145,,,55.0,0.06777518,DENIS-P J0751164-253043,0.10584589,
146,,,16.1,0.04200152,DENIS J081730.0-615520,0.09659721999999998,
147,,,67.0,0.04200152,DENIS J082303.1−491201,,
