,apparent_magnitude,bayer_designation,distance,mass,name,radius,spectral_class,gravity
0,0.000−26.74,,0.000015813,1,Sun,1,G2,272.4081632653061
1,0.001−1.46,α CMa,0008.6,2.1,Sirius,1.71,A1,195.6352870480294
2,0.003−0.74,α Car,0310,15,Canopus,71,A9,0.8105777522276515
3,0.004−0.27,α Cen,0004.4,1.1,Alpha Centauri,1.2,G2,208.08956916099774
4,0.005−0.05,α Boo,0037,1.1,Arcturus,26,K2,0.4432677212896993
5,0.03,α Lyr,0025,2.2,Vega,2.7,A0,82.20822485372747
6,0.08,α Aur,0043,2.6,Capella,12,G8,4.918480725623581
7,0.13,β Ori,0860,23,Rigel,78.9,B8,1.0064540401210624
8,0.34,α CMi,0011.4,1.5,Procyon,1.9,F5,113.18898750635988
9,0.45,α Ori,0640[1],20,Betelgeuse,950,M2,0.006036746000339192
10,0.46,α Eri,0144,6.7,Achernar,9.3,B3,21.102262618540294
11,0.61,β Cen,0390,10.5,Hadar,8.6,B1,38.67341420072626
12,0.76,α Aql,0017,1.8,Altair,1.8,A7,151.33786848072563
13,0.76,α Cru,0320,18,Acrux,8.9,B0.5,61.90313014487452
14,0.86,α Tau,0065,1.5,Aldebaran,44,K5,0.21106004385225163
15,0.96,α Sco,0600,12,Antares,680,M1.5,0.007069416001694796
16,0.97,α Vir,0260,11.43,Spica,7.47,B1,55.798836687624195
17,1.14,β Gem,0034,1.9,Pollux,8.8,K0,6.683568055321301
18,1.16,α PsA,0025,1.9,Fomalhaut,1.8,A3,159.74552784076593
19,1.25,α Cyg,"2,600",19,Deneb,203,A2,0.1255976874479074
20,1.25,β Crucis,0350,16,Mimosa,8.4,B0.5,61.77055856356147
21,1.39,α Leo,0077,3.8,Regulus,3.1,B7,107.71602709762365
22,1.50,ε CMa,0430,12.5,Adhara,14,B2,17.372969596001663
23,1.62,λ Sco,0700,14.5,Shaula,8.8,B2,51.00617726429413
24,1.62,α Gem,0052,2.8,Castor,2.4,A1,132.4206349206349
25,1.64,γ Cru,0088,1.5,Gacrux,84,M3.5,0.057909898653338884
26,1.64,γ Ori,0240,8.6,Bellatrix,5.8,B2,69.64061248756339
27,1.65,β Tau,0130,5.0,Elnath,4.2,B7,77.21319820445183
28,1.69,β Car,0110,3.5,Miaplacidus,6.8,A1,20.619130004943155
